Matricula;Admissão;Sindicato do Colaborador;Competência;Dias;VALOR DIÁRIO VR;TOTAL;Custo empresa;Desconto profissional;OBS GERAL
20792;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
21151;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;0;35.0;0.0;0.0;0.0;Sem dias úteis no período | Valor diário obtido por fallback (UF/Estado)
21827;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;05/2025;22;37.5;825.0;660.0;165.0;
23499;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
23836;;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;05/2025;21;35.0;735.0;588.0;147.0;
24122;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24316;;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;05/2025;22;35.0;770.0;616.0;154.0;
24401;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24442;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24472;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24475;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24490;;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;05/2025;21;35.0;735.0;588.0;147.0;
24505;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24511;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24561;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24685;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24715;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24778;;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;05/2025;22;37.5;825.0;660.0;165.0;
24820;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
24899;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
25022;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
25023;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
25050;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
25081;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
25163;;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;05/2025;21;35.0;735.0;588.0;147.0;
