Matricula 20792: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 21151: dias=0, valor_diario=35.0, total=0.0 (reason=fallback_uf_in_sindicato:RS) obs=Sem dias úteis no período | Valor diário obtido por fallback (UF/Estado)
Matricula 21827: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 23499: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 23836: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24122: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24316: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 24401: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24442: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24472: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24475: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24490: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24505: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24511: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24561: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24685: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24715: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24778: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 24820: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 24899: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25022: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25023: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25050: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25081: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25163: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25165: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25203: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25233: dias=0, valor_diario=35.0, total=0.0 (reason=fallback_uf_in_sindicato:RS) obs=Sem dias úteis no período | Valor diário obtido por fallback (UF/Estado)
Matricula 25251: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25290: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 25294: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25310: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25314: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25330: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 25342: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 25349: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25379: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25528: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25565: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25579: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25583: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25609: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 25614: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 25619: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25670: dias=0, valor_diario=35.0, total=0.0 (reason=fallback_uf_in_sindicato:PR) obs=Sem dias úteis no período | Valor diário obtido por fallback (UF/Estado) | Desligamento comunicado até dia 15
Matricula 25707: dias=0, valor_diario=37.5, total=0.0 (reason=fallback_uf_in_sindicato:SP) obs=Sem dias úteis no período | Valor diário obtido por fallback (UF/Estado) | Desligamento comunicado até dia 15
Matricula 25724: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 25770: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 25846: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25857: dias=0, valor_diario=35.0, total=0.0 (reason=fallback_uf_in_sindicato:RS) obs=Sem dias úteis no período | Valor diário obtido por fallback (UF/Estado)
Matricula 25872: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25931: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25934: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25975: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 25978: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26042: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 26051: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26055: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26084: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 26095: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 26129: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26139: dias=0, valor_diario=0.0, total=0.0 (reason=no_valor_found) obs=Sem dias úteis no período | Valor unitário do sindicato/estado não encontrado | Desligamento comunicado até dia 15
Matricula 26147: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 26161: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
